अ	ɐ
बालिका	bɑː.li.kɑː
बिभेति	bi.bʱɐ́j.ti
बुध	ˈbu.d̪ʱɐ
बोधिसत्त्व	boː.d̪ʱiˈs̪ɐt̪.t̪ʋɐ
ब्राह्मण	bɾɑ́ːɦ.mɐ.ɳɐ
भङ्ग	bʱɐŋ.ɡɐ́
भयङ्कर	bʱɐ.jɐŋ.kɐ.ɾɐ
भर्ग	bʱɐ́ɾ.ɡɐ
भल्लाक	bʱɐl.lɑː.kɐ
भविष्य	bʱɐ.ʋiʂ.jɐ
भागवत	bʱɑː.ɡɐ.ʋɐ.tɐ
भारिन्	bʱɑː.ɾin
भास्	bʱɑ́ːs
भी	bʱíː
भूत	bʱuː.tɐ́
भृगुवार	bʱr̩.ɡu.ʋɑː.ɾɐ
भ्रमण	bʱɾɐ.mɐ.ɳɐ
मग्न	mɐɡ.nɐ́
मटती	mɐ.ʈɐ.tiː
मत्स्य	mɐ́t.sjɐ
मधु	mɐ́.dʱu
मनस्	mɐ́.nɐs
मन्तृ	mɐn.tŕ̩
मयस्	mɐ́.jɐs
मरु	mɐ.ɾú
मल	mɐ́.lɐ
मषीपात्र	mɐ.ʂiː.pɑːt.ɾɐ
महत्त्व	mɐ.ɦɐt.tʋɐ
महाभारत	mɐ.ɦɑ́ː.bʱɑː.ɾɐ.tɐh
मांस्	mɑ̃ːs
मारुक	mɑ́ː.ɾu.kɐ
मुग्ध	muɡ.dʱɐ́
मुमोच	mu.mɐw.t͡ɕɐ
मूढ	muː.ɖʱɐ́
मूर्छा	muːɾ.t͡ɕʰɑː
मृग	mr̩.ɡɐ́
मेढ्र	mɐ́jɖʱ.ɾɐ
मेन्धी	mɐjn.dʱiː
मोमुघ	mɐw.mu.ɡʱɐ́
म्लेच्छति	mlɐjt.t͡ɕʰɐ.ti
यजस्	jɐ́.d͡ʑɐs
यम्	jɐm
यहु	jɐ́.ɦu
यातयाम	jɑː.tɐ́.jɑː.mɐ
युक्ति	juk.ti
युध्म	judʱ.mɐ́
यून	juː.nɐ
योगिन्	jɐw.ɡin
रंसु	ɾɐ̃́.su
रक्षोहन्	ɾɐk.ʂɐw.ɦɐ́n
रञ्जन	ɾɐɲ.d͡ʑɐ.nɐ
रपस्	ɾɐ́.pɐs
रयिन्तम	ɾɐ.jín.tɐ.mɐ
राजन्	ɾɑ́ː.d͡ʑɐn
राज्ञ्याः	ɾɑːd͡ʑ.ɲjɑːh
राध्य	ɾɑ́ːdʱ.jɐ
राहु	ɾɑː.ɦu
रुच्	ɾút͡ɕ
रेखाङ्कित	ɾɐj.kʰɑːŋ.ki.tɐ
रोक	ɾɐw.kɐ́
रोध	ɾɐw.dʱɐ
रोहति	ɾɐ́w.ɦɐ.ti
लघु	lɐ.ɡʱú
लभ्	lɐbʱ
लाञ्छन	lɑːɲ.t͡ɕʰɐ.nɐ
लिपि	li.pi
लैङ्ग	lɑːjŋ.ɡɐ
वक्षति	ʋɐ́k.ʂɐ.ti
वञ्चति	ʋɐɲ.t͡ɕɐ.ti
वध्रि	ʋɐ́dʱ.ɾi
वपुस्	ʋɐ́.pus
वर	ʋɐ́.ɾɐ
वर्णयति	ʋɐɾ.ɳɐ.jɐ.ti
वर्ष	ʋɐɾ.ʂɐ́
ववर्त	ʋɐ.ʋɐ́ɾ.tɐ
वसा	ʋɐ́.sɑː
वस्यस्	ʋɐ́s.jɐs
वाटर	ʋɑː.ʈɐ.ɾɐ
वाति	ʋɑ́ː.ti
वारकिन्	ʋɑː.ɾɐ.kin
वासर	ʋɑː.sɐ.ɾɐ
विक्रेतृ	ʋik.ɾɐj.tr̩
विद्वस्	ʋid.ʋɐs
विन्त्ते	ʋint.tɐj
विमातृ	ʋi.mɑː.tr̩
विविक्षति	ʋi.ʋik.ʂɐ.ti
विश्वकर्मन्	ʋiɕ.ʋɐ.kɐɾ.mɐn
विसर्ग	ʋi.sɐɾ.ɡɐ́
वीतभीति	ʋiː.tɐ.bʱiː.ti
वृक्क	ʋr̩k.kɐ́
वृत्रहन्	ʋr̩t.ɾɐ.ɦɐ́n
वेवेक्ति	ʋɐj.ʋɐjk.ti
वैदिक	ʋɑːj.di.kɐ́
वोढृ	ʋɐ́w.ɖʱr̩
व्याघ्र	ʋjɑːɡʱ.ɾɐ́
शं	ɕɐ́m
शकार	ɕɐˈkɑː.ɾɐ
शत्रु	ɕɐ́t.ɾu
शब्दकोश	ɕɐb.d̪ɐˈkoː.ɕɐ
शरण	ɕɐ.ɾɐ́.ɳɐ
शर्म	ɕɐɾ.mɐ
शष्प	ɕɐ́ʂ.pɐ
शान्तनु	ɕɑːn.tɐ.nu
शाल	ɕɑː.lɐ́
शिलालेख	ɕi.l̪ɑːˈl̪eː.kʰɐ
शीघ्र	ɕiːɡʱ.ɾɐ́
शुचि	ɕú.t͡ɕi
शुष्क	ɕúʂ.kɐ
शृणोति	ɕr̩.ɳɐ́w.ti
शोभना	ɕɐw.bʱɐ.nɑː
श्रद्दधाति	ɕɾɐ́d.dɐ.dʱɑː.ti
श्रावयति	ɕɾɑː.ʋɐ.jɐ.ti
श्वसन	ɕʋɐ.sɐ.nɐ́
